1,"Roach, Hernandez and Sanchez University","South Garystad, Reunion",Africa,25784
2,Baker-Espinoza University,"Michaelstad, Burundi",North America,20600
3,Preston PLC University,"West Kellystad, Brunei Darussalam",South America,36015
4,Thompson Inc University,"Lake Elizabethmouth, Taiwan",Europe,27936
5,Hansen-Watson University,"North Jasonfort, Cape Verde",South America,28006
6,"Decker, Hodge and Bryant University","Port Vicki, Liechtenstein",Europe,53599
7,Martinez Inc University,"West Lukechester, Brazil",Asia,14641
8,King PLC University,"Brendaland, Trinidad and Tobago",South America,55620
9,"Williams, Frank and Evans University","Chrismouth, China",North America,15917
10,Williams and Sons University,"West Masontown, Saint Vincent and the Grenadines",Europe,38594
11,Rojas-Wells University,"Ingrammouth, Madagascar",South America,23635
12,Jimenez and Sons University,"Madelineshire, Pitcairn Islands",Asia,47030
13,Gill and Sons University,"Zunigabury, Jordan",North America,23479
14,Nguyen-Holmes University,"New Katherine, Moldova",Oceania,29603
15,Fitzpatrick-Barajas University,"Warrenview, Equatorial Guinea",Asia,21766
16,Cowan Ltd University,"New Troyland, Iceland",Oceania,57051
17,Moran-Avila University,"Brentport, Hong Kong",Oceania,18709
18,"Butler, Chambers and Long University","Lake Aliciashire, Bermuda",Asia,20862
19,"Chandler, Scott and Baird University","West Coreystad, Israel",North America,33635
20,"Tran, Tran and Harrison University","South Andrew, Guinea",Oceania,49950
21,"Johnson, Sexton and Roy University","West Aaron, Uruguay",Oceania,50392
22,"Morris, Frazier and Cain University","North Natalieport, Liberia",North America,34418
23,Barr Ltd University,"East Justinmouth, Mauritius",Europe,29242
24,James-Horton University,"Michaelview, Germany",Europe,54767
25,Garcia Inc University,"Jasonshire, Indonesia",Africa,55593
26,Morris-Adams University,"South Douglasberg, Syrian Arab Republic",North America,13129
27,"Ball, Herrera and Brown University","Port Vanessa, Bosnia and Herzegovina",North America,32351
28,Solomon-Greene University,"Rebeccabury, Colombia",South America,31783
29,Shelton Ltd University,"Port Robertmouth, Grenada",South America,41579
30,"Henry, Morris and Sanders University","Teresaview, Ireland",North America,24791
31,"Long, Mcdaniel and Contreras University","East Jennifer, Norfolk Island",Oceania,19074
32,Fry Ltd University,"Navarrofort, Australia",Africa,45163
33,Mcconnell Ltd University,"North Joshuaville, Argentina",Oceania,46358
34,"Newman, Guerrero and Rios University","New Jeremyfurt, United Kingdom",North America,37258
35,"Johnson, Mccann and Rivera University","Gibsonhaven, Guam",Europe,39222
36,"Perez, Weber and White University","New Rachel, Slovakia (Slovak Republic)",South America,54895
37,Olson-Torres University,"Sandersville, Kenya",North America,11083
38,Griffith and Sons University,"Washingtonburgh, Mozambique",North America,12582
39,Smith-Reese University,"Robertsonstad, New Zealand",Europe,56727
40,"Acevedo, Fuller and Estes University","East Todd, South Africa",South America,29539
41,Lowe-Stephens University,"Nicholasland, Mali",Africa,18003
42,Dixon Ltd University,"Lake Cherylborough, Martinique",North America,18805
43,Price Ltd University,"East Robert, Christmas Island",Oceania,22263
44,"Mendoza, Woodard and Baker University","Reyesmouth, Mongolia",Africa,43661
45,Moore-Rosario University,"Greenmouth, Micronesia",Europe,23615
46,"Nichols, Roberts and Jones University","Port Mollyview, Guadeloupe",North America,55920
47,"Williams, Johnson and Harris University","South Meredith, Papua New Guinea",Oceania,39956
48,Hodges LLC University,"New Nicoletown, French Guiana",South America,40148
49,Garrison PLC University,"South Raymond, Netherlands Antilles",Oceania,14835
50,"Morales, Sullivan and Smith University","New Samuel, Canada",Africa,28413
51,"Jimenez, Walker and Logan University","Joshuafort, Montserrat",Oceania,34976
52,Hodges PLC University,"North Joshua, Norfolk Island",Oceania,42301
53,Woodard LLC University,"Cainberg, Guam",Europe,55233
54,David-Chambers University,"Apriltown, Montenegro",Asia,50177
55,"Wilson, Macias and Walker University","Markmouth, Maldives",North America,47627
56,Fleming-Everett University,"Henrychester, Vanuatu",South America,53778
57,Daugherty and Sons University,"Oliverfort, Cote d'Ivoire",Europe,25441
58,Key-Smith University,"East Lisa, Cyprus",South America,19281
59,Watts Ltd University,"Jamesview, Myanmar",Asia,58410
60,Clay and Sons University,"New Wendyside, French Guiana",Oceania,44434
61,"Bonilla, Hayes and Nguyen University","Lake Frank, Bahamas",Africa,21030
62,Hernandez-Hamilton University,"Hardymouth, United States of America",Europe,33759
63,Barber-Beck University,"Lambertberg, Israel",Europe,50488
64,Mcdonald-Sexton University,"New Scottfurt, Gabon",Asia,43441
65,Jefferson-Williams University,"Michelleside, Turkmenistan",North America,56195
66,Thompson Inc University,"Heatherhaven, Italy",Oceania,33428
67,Mckenzie and Sons University,"New Frances, Tokelau",South America,12364
68,"Wang, Graham and Young University","Youngville, Niger",Africa,49394
69,Austin-Clark University,"West Johnfurt, Togo",South America,34754
70,"Mccarty, Kane and Carter University","Fullertown, Indonesia",South America,27093
71,Carey-Gay University,"Port Kimberlyberg, Sao Tome and Principe",Africa,48179
72,"Moore, Jones and Gutierrez University","Freemanbury, Dominican Republic",North America,50234
73,"Davies, Beasley and Hunter University","West Timothy, Ukraine",Oceania,44808
74,Clark PLC University,"Emilyville, Cameroon",Africa,33690
75,Greene-Joseph University,"West Davidburgh, Bouvet Island (Bouvetoya)",Europe,57485
76,Patrick-Rogers University,"Olivermouth, Spain",Oceania,43489
77,Robinson-Odonnell University,"Powellville, Gambia",Oceania,41435
78,Gamble-Carr University,"Marymouth, Papua New Guinea",South America,59599
79,French Ltd University,"Matthewside, Seychelles",Asia,23036
80,Mayer and Sons University,"Perezside, Monaco",South America,34103
81,Estrada-Wright University,"North Cheyenne, Albania",North America,20671
82,"Berry, Simpson and Calderon University","South Samuel, Belgium",Europe,19973
83,"Hammond, White and Doyle University","North Michael, Mauritania",Oceania,41656
84,"Hoffman, Dunn and Mcneil University","West Tammieville, India",Europe,56567
85,Smith Inc University,"Robertshire, Bulgaria",North America,56988
86,Diaz-Washington University,"Mckinneymouth, Morocco",Africa,47931
87,Peterson-Gonzalez University,"Brendafurt, Cuba",Africa,42548
88,"Ray, Zamora and Kelley University","Lake Davidfurt, Marshall Islands",Asia,47919
89,Gregory-Mitchell University,"Monicashire, Thailand",Asia,15146
90,Turner-Miller University,"Davidhaven, Bulgaria",Oceania,24388
91,Cooper-Potter University,"Wallfurt, Liberia",Oceania,42210
92,"Bender, Jones and Cox University","Port Jamie, Ecuador",Africa,27918
93,"Gray, Murphy and Thompson University","West Meganhaven, Christmas Island",North America,37042
94,Kim PLC University,"Phillipville, Russian Federation",Africa,35754
95,Salazar-Lopez University,"Lake Ashley, Gibraltar",Asia,53001
96,"Rubio, Frank and Williamson University","Pagefort, Lao People's Democratic Republic",Asia,16847
97,Smith PLC University,"Port Jonathanberg, Uzbekistan",Asia,43479
98,Rowland Ltd University,"Robbinsside, Maldives",Oceania,52155
99,"Palmer, Miller and Armstrong University","East Destinyside, Hong Kong",North America,34833
100,Ellison-Ochoa University,"South Matthewland, Armenia",Oceania,51318
